date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-09-25,1.703843826043153,0.05878708976128075,3.5435604989023375,28809490329
2024-09-26,1.7231101117489764,-0.09401159850279613,3.3958541351715588,28809490329
2024-09-27,1.7423763974547999,0.004101300369838688,3.519645046193931,28809490329
2024-09-28,1.7616426831606251,-0.04077536307342041,3.399466277831801,28809490329
2024-09-29,1.7809089688664486,0.07361667740957424,3.5589642756600743,28809490329
2024-09-30,1.8001752545722738,0.1281943103430529,3.5566038736411514,28809490329
2025-02-18,6.259329053676127,3.936986788577642,8.688566262237616,35760801349
2025-02-19,5.502547813347731,3.3137402206039437,8.12683751908992,35760801349
2025-02-20,4.1463013721878035,1.7404350931697907,6.4682679680239765,35760801349
2025-02-21,2.1289032229334364,-0.2807195304225994,4.621115323447938,35760801349
2025-02-22,-0.593842727234775,-2.753392236946019,2.033255311363735,35760801349
2025-02-23,-4.04575229430352,-6.686684910676458,-1.4675684330953669,35760801349
2025-02-24,-8.227827584761435,-10.56825313793948,-5.6322944724776,35760801349
2025-02-25,-13.116376122121242,-15.714464259488038,-10.494105763354984,35760801349
2025-02-26,-18.66176609597026,-21.281193894799404,-16.151624045773715,35760801349
2025-02-27,-24.78788581306719,-27.184079375443964,-22.220797983190103,35760801349
2025-02-28,-31.3923574076187,-34.070664383481414,-29.003718528719048,35760801349
2025-03-01,-38.347534760448696,-40.73689235808327,-35.996404648461215,35760801349
2025-03-02,-45.502293921140684,-47.92752794592281,-43.13476355364446,35760801349
2025-03-03,-52.6846017100042,-55.26545540011914,-50.23891192929035,35760801349
2025-03-04,-59.70482523387471,-62.07804519095138,-56.97004811344757,35760801349
2025-03-05,-66.35972243807328,-68.85638226182407,-63.74159522851556,35760801349
2025-03-06,-72.43703219962312,-75.0137151910098,-69.97563930716669,35760801349
2025-03-07,-77.72056249778537,-80.33772285121263,-75.28337095415722,35760801349
2025-03-08,-81.99565749204294,-84.45931456689348,-79.67254792646584,35760801349
2025-03-09,-85.05490946359735,-87.49832561376049,-82.4329447138522,35760801349
2025-03-10,-86.70397003283826,-89.23961688124861,-84.22705801244001,35760801349
2025-03-11,-86.76730726336257,-89.23960427017876,-84.3497103310538,35760801349
2025-03-12,-85.09375152225354,-87.76600328528372,-82.54215292425498,35760801349
2025-03-13,-81.56167348822999,-84.04131780015226,-79.22509568125618,35760801349
2025-03-14,-76.08364257707305,-78.34840101603717,-73.59875550317004,35760801349
2025-03-15,-68.61042325246947,-71.03497296280365,-66.31720622840287,35760801349
2025-03-16,-59.134180055367594,-61.55668736022844,-56.69347877989123,35760801349
2025-03-17,-47.690779438603194,-50.30869468819449,-45.21605835214494,35760801349
2025-02-25,-30.143394438473848,-31.490788800709062,-28.806071746800946,35760801674
2025-02-26,-25.35220534542846,-26.664832961275625,-24.053177615869313,35760801674
2025-02-27,-19.109807144981012,-20.37930398619687,-17.685121443488683,35760801674
2025-02-28,-11.36513067987011,-12.723676800553346,-10.054160507028413,35760801674
2025-03-01,-2.1076385930616546,-3.421440605360202,-0.7492051555298371,35760801674
2025-03-02,8.630422520935396,7.252538860435707,10.010372114707415,35760801674
2025-03-03,20.77280378190639,19.57652773229569,22.124775564830177,35760801674
2025-03-04,34.19912850962111,33.011316316203555,35.55007041454205,35760801674
2025-03-05,48.74589182898413,47.30083034106626,50.07294680846513,35760801674
2025-03-06,64.20858970062119,62.9162594386557,65.54551264914807,35760801674
2025-03-07,80.34495310365797,79.07529888392497,81.64433501773013,35760801674
2025-03-08,96.87923466497683,95.54205628925239,98.21237221275767,35760801674
2025-03-09,113.50746747665039,112.08433621051101,114.85490018160142,35760801674
2025-03-10,129.9035898944223,128.50810537162528,131.2763527083518,35760801674
2025-03-11,145.72630644558032,144.33810120452443,147.08608397932213,35760801674
2025-03-12,160.62653423219885,159.3465733111698,161.94441329493614,35760801674
2025-03-13,174.2552669607536,172.79286500184617,175.66549634526928,35760801674
2025-03-14,186.27167543679278,184.93747116679324,187.55199105871355,35760801674
2025-03-15,196.35125442002624,195.08063544738857,197.67258526671918,35760801674
2025-03-16,204.19382141159846,202.8724138477603,205.53124950762256,35760801674
2025-03-17,209.53117340089685,208.22838014017714,210.83169148369592,35760801674
2025-03-18,212.1342128644802,210.81899029211425,213.4957470281114,35760801674
2025-03-19,211.8193643040695,210.56888382187992,213.13428079776853,35760801674
2025-03-20,208.4541171192938,207.06834456789085,209.80828584215132,35760801674
2025-03-21,201.96154931138938,200.67141582041882,203.31204308501415,35760801674
2025-03-22,192.323708970649,190.94951303361313,193.78326727821147,35760801674
2025-03-23,179.58375618161045,178.12353446775467,180.90637324977865,35760801674
2025-03-24,163.84679626738702,162.53269259994897,165.17267638311532,35760801674
2025-02-25,2.708390881431789,1.1390345845221006,4.131931777243857,35760801996
2025-02-26,2.7105212905241127,1.1173882092867384,4.2513773431031066,35760801996
2025-02-27,2.712651699616436,1.2709652131034461,4.2316021920590385,35760801996
2025-02-28,2.7147821087087602,1.1059499961896937,4.111212260047696,35760801996
2025-03-01,2.716912517801084,1.2704630576371796,4.2466512797242,35760801996
2025-03-02,2.7190429268934073,1.2231759530729078,4.262732692857912,35760801996
2025-03-03,2.7211733359857315,1.1864854902118869,4.1933536864863,35760801996
2025-03-04,2.723303745078055,1.192793997992516,4.28507631172168,35760801996
2025-03-05,2.7254341541703786,1.1627698864738174,4.189847344946811,35760801996
2025-03-06,2.7275645632627024,1.14991699382387,4.2110251491679405,35760801996
2025-03-07,2.729694972355026,1.2014692036913275,4.256509065822863,35760801996
2025-03-08,2.73182538144735,1.183751837145091,4.149582369000181,35760801996
2025-03-09,2.7339557905396736,1.2450506202943412,4.242074716606477,35760801996
2025-03-10,2.7360861996319974,1.1213662280133307,4.351596561756786,35760801996
2025-03-11,2.738216608724321,1.223369102264518,4.159254272493607,35760801996
2025-03-12,2.740347017816645,1.1874083898324346,4.299289771623385,35760801996
2025-03-13,2.7424774269089687,1.1705558237674778,4.260466698204535,35760801996
2025-03-14,2.7446078360012924,1.2304738067632055,4.325229718835886,35760801996
2025-03-15,2.746738245093616,1.0910889211744859,4.265790915205297,35760801996
2025-03-16,2.74886865418594,1.1622370552420827,4.3638355546129795,35760801996
2025-03-17,2.7509990632782637,1.1874264927913751,4.146704016591225,35760801996
2025-03-18,2.7531294723705875,1.2547022082489745,4.316740277617816,35760801996
2025-03-19,2.7552598814629112,1.2214285525189925,4.290477328641489,35760801996
2025-03-20,2.7573902905552345,1.235782610923821,4.319593173620871,35760801996
2025-03-21,2.7595206996475588,1.210411170269244,4.24179471406884,35760801996
2025-03-22,2.7616511087398825,1.3459156314421419,4.287956813804138,35760801996
2025-03-23,2.763781517832206,1.2141935314017895,4.3430730596419185,35760801996
2025-03-24,2.76591192692453,1.2353484008512774,4.311038291287759,35760801996
2024-10-01,1.0,0.9999999987303926,1.0000000013330674,35760802857
2024-10-02,1.0,0.9999999986706272,1.0000000012743688,35760802857
2024-10-03,1.0,0.99999999867006,1.0000000012997141,35760802857
2024-10-04,1.0,0.9999999986442066,1.0000000012096262,35760802857
2024-10-05,1.0,0.9999999987812526,1.0000000012287755,35760802857
2024-10-06,1.0,0.9999999987403515,1.0000000012954608,35760802857
2024-10-07,1.0,0.9999999986677381,1.0000000012602408,35760802857
2024-10-08,1.0,0.9999999987930018,1.00000000122507,35760802857
2024-10-09,1.0,0.999999998703224,1.0000000012270942,35760802857
2024-10-10,1.0,0.9999999986658413,1.0000000012780612,35760802857
2024-10-11,1.0,0.9999999987602347,1.0000000012073385,35760802857
2024-10-12,1.0,0.999999998687956,1.0000000012233545,35760802857
2024-10-13,1.0,0.9999999986843963,1.0000000011956076,35760802857
2024-10-14,1.0,0.9999999987804168,1.0000000013416623,35760802857
2024-10-15,1.0,0.9999999987102689,1.0000000012037942,35760802857
2024-10-16,1.0,0.9999999987431994,1.0000000013175574,35760802857
2024-10-17,1.0,0.9999999986501199,1.0000000012569463,35760802857
2024-10-18,1.0,0.9999999987108812,1.000000001250383,35760802857
2024-10-19,1.0,0.9999999986406392,1.0000000012436963,35760802857
2024-10-20,1.0,0.9999999987736141,1.0000000012623411,35760802857
